470;469;433
433;469;432
470;433;434
506;469;507
469;470;507
470;434;471
508;470;471
432;469;468
397;433;396
433;432;396
432;468;431
398;434;397
434;433;397
507;470;508
468;469;506
507;508;545
395;432;431
468;506;505
472;471;435
471;434;435
396;432;395
435;434;398
397;396;360
544;507;545
508;471;509
543;506;544
506;507;544
546;508;509
467;468;505
361;397;360
396;395;359
509;471;472
431;468;467
360;396;359
395;431;394
431;467;430
362;398;361
398;397;361
360;359;323
399;435;398
582;545;546
545;508;546
473;472;436
542;505;543
505;506;543
544;545;581
358;395;394
436;435;399
580;544;581
510;509;472
472;435;436
394;431;430
467;505;504
359;395;358
399;398;362
324;360;323
581;545;582
547;509;510
579;543;580
543;544;580
619;582;583
547;546;509
466;467;504
583;546;547
504;505;542
324;361;360
359;358;322
325;361;324
511;510;473
510;472;473
363;399;362
430;467;466
504;542;541
286;323;322
323;359;322
357;394;393
394;430;393
326;362;325
362;361;325
324;323;287
400;436;399
618;581;582
582;546;583
547;510;548
578;542;579
542;543;579
617;581;618
437;436;400
357;358;394
430;466;429
321;358;357
400;399;363
617;580;581
616;580;617
474;473;437
473;436;437
327;363;326
393;430;429
503;504;541
584;583;547
584;547;548
503;466;504
579;580;616
322;358;321
357;393;356
363;362;326
288;324;287
288;325;324
322;321;285
655;618;619
618;582;619
615;579;616
656;619;620
548;510;511
465;466;503
287;323;286
620;583;584
548;511;549
577;541;578
541;542;578
289;325;288
512;511;474
511;473;474
364;400;363
290;326;289
428;429;465
429;466;465
614;578;615
250;286;285
286;322;285
320;357;356
393;429;392
251;287;286
364;401;400
326;325;289
252;287;251
654;617;618
619;583;620
585;548;549
540;503;541
578;579;615
653;617;654
401;437;400
320;321;357
653;616;617
438;437;401
356;393;392
284;321;320
364;363;327
654;618;655
652;616;653
654;655;690
585;584;548
474;437;438
502;465;503
502;503;540
621;620;584
621;584;585
540;541;577
615;616;652
252;288;287
285;321;284
253;289;288
253;288;252
475;474;438
401;364;365
364;327;328
391;392;428
392;429;428
249;285;284
319;356;355
327;326;290
691;655;656
655;619;656
651;615;652
692;656;657
475;513;512
549;511;512
464;465;502
613;577;614
251;286;250
657;620;621
585;549;586
651;650;614
577;578;614
254;289;253
216;251;250
550;549;512
512;474;475
402;401;365
327;290;291
427;428;464
428;465;464
539;540;576
402;438;401
319;320;356
356;392;355
365;364;328
290;289;254
283;284;320
283;320;319
215;250;249
250;285;249
217;252;251
255;290;254
218;252;217
690;689;654
656;620;657
622;585;586
576;540;577
614;615;651
689;653;654
689;688;653
688;652;653
439;438;402
365;328;329
354;355;391
355;392;391
248;284;283
328;327;291
692;725;691
690;655;691
687;652;688
689;690;723
622;621;585
539;502;540
218;253;252
586;549;550
475;438;439
501;502;539
501;464;502
658;621;622
